Linear Algebra, 3, 1
Engineering Physics, 3, 1
Biology for Engineers, 2, 1
Basic of Electrical & Electronics Engineering, 3, 1
Problem Solving Using Procedural Programming, 3, 1
Computer Lab, 2, 1
IKS, 2, 1
Liberal Learning -1, 1, 1
Probability and Statistics, 3, 2
Quantum Physics, 3, 2
Digital Logic Design, 4, 2
Engineering Graphics and Design, 3, 2
Discrete Structures, 2, 2
Web Design, 2, 2
Communication Skills, 2, 2
Liberal Learning -2, 1, 2
Microprocessors, 4, 3
Principles of Programming Languages, 3, 3
Data Structures and Algirithms, 4, 3
Open Elective -1, 2, 3
Indian Language, 2, 3
Environment Studies, 2, 3
Community Engagement Activity(CEA), 2, 3
Entrepreneurship, 2, 3
Object Oriented Programming & design, 4, 4
Computer Organization, 3, 4
Theory of Computation, 3, 4
Constitution of INDIA, 2, 4
Economics, 2, 4
Open Electives, 2, 4
Developement Tools Laboratory, 2, 4
Multidisciplinary Minor -1, 3, 4
